dataset,repeat,system,reference,poses,overlap_s,path_m,trans_rmse_m,trans_max_m,trans_final_m,rot_rmse_deg,rot_max_deg,clean_rmse_m,jumps,mean_speed_m_s,rpe1_pairs,rpe1_trans_rmse_m,rpe1_trans_median_m,rpe1_rot_rmse_deg,rpe1_rot_median_deg,rpe1_pairs_clean,rpe1_trans_rmse_clean_m,rpe1_rot_rmse_clean_deg
dataset_dynamic_nofloortexture_02_000,logging_20260916_02,VINS-Fusion,rosbag /ground_truth/odometry,2701,89.1,196.69517202881943,12.879117185367003,34.914355501388364,7.237043091646994,5.47764555017658,13.546392991763748,7.355277510672856,61,2.2075776883144718,2670,1.1135619446891913,0.20900058491222429,0.9991881120961409,0.23286856249825258,2284,0.9097924565018617,0.6566676449361776
dataset_dynamic_nofloortexture_02_000,logging_20260916_02,ORB-SLAM3,rosbag /ground_truth/odometry,2040,89.39699999999999,2607.578755791068,265.50068372167704,970.8706987776012,104.25372507663101,62.852516305997746,94.55937402086134,2.173343883660901,689,29.16852641353813,1978,27.408342023292875,1.7585229185183975,15.204018129313551,1.4633828039826322,944,1.2724338417721675,1.884012374873701
dataset_dynamic_nofloortexture_02_000,logging_20260916_02,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2701,89.1,196.80669916417503,11.85404068844727,31.96560579685591,6.818338647639677,6.391367257839586,15.403930383074133,7.55463231918007,62,2.208829395781987,2670,1.0194785122346437,0.22110673935888467,1.1168494732580163,0.24971312426702313,2338,0.8165778041116951,0.7286326237098367
dataset_dynamic_nofloortexture_02_000,logging_20260916_02,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,823,89.298,7196.267971018278,737.271940856305,3158.6781329854016,311.5494224152406,148.94209350218114,161.36024253681063,0.8066962335029338,219,80.58711248872626,755,80.42922834802648,1.1058332900456223,22.747581785851974,0.5917409732053758,491,1.6383500304797898,10.713007863298706
dataset_dynamic_nofloortexture_02_000,logging_20260916_03,VINS-Fusion,rosbag /ground_truth/odometry,2700,89.1,197.17415323288304,11.30094901159483,30.805582191272595,6.606371421835544,4.272398608778318,11.054307125653887,6.809806188656184,58,2.2129534594038502,2669,0.9860620593887126,0.19033894968512058,0.9712763195103062,0.19114963825914313,2325,0.7547090270053481,0.544563723477283
dataset_dynamic_nofloortexture_02_000,logging_20260916_03,ORB-SLAM3,rosbag /ground_truth/odometry,1999,89.39699999999999,680.933158563172,42.368834952216304,171.07055570557335,18.288071220630155,145.7670690053895,164.10534555631838,1.7197888613880195,408,7.616957599954944,1946,7.3351671879436,2.0409911321487337,18.333739276016264,1.6408207876356862,968,1.9745725380286894,1.7667171806432778
dataset_dynamic_nofloortexture_02_000,logging_20260916_03,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,1733,89.1,201.52240583470126,12.552130763093338,29.025928301156796,3.034184825995843,6.932171513593354,14.254188340812812,6.290859683828531,66,2.2617553965735273,1701,1.2135804452709789,0.35346459768692357,1.249661944297136,0.2763104473567037,1302,0.9162338852467468,0.6739306417717577
dataset_dynamic_nofloortexture_02_000,logging_20260916_03,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,884,89.39699999999999,394.9446874250219,15.812252852946662,89.47946952289841,24.906423423102012,146.9404872227298,178.58694970528654,0.5901882311427181,31,4.417874060930702,825,3.2336433984848454,0.34934823992067227,28.468166127049077,0.6034618448552191,663,1.895757714180473,13.34156177166688
dataset_static_nofloortexture_000,logging_20260916_01,VINS-Fusion,rosbag /ground_truth/odometry,1174,86.295,123.16635824074606,0.37048928476013376,0.567307581178466,0.4438015084000754,1.5571775370215157,3.8958203285041826,0.37048928476013376,0,1.42727108454425,1143,0.059252387631084626,0.020642252816742482,0.5847621234831889,0.0660100853402293,1143,0.059252387631084626,0.5847621234831889
dataset_static_nofloortexture_000,logging_20260916_01,ORB-SLAM3,rosbag /ground_truth/odometry,1152,86.493,125.30848153487787,0.5760083272960519,1.1144838599241262,0.4568451249568761,17.923023646375714,90.45522575338202,0.5501670046966649,1,1.4487702072407926,1133,0.28690443612519656,0.030840566494517455,9.278709281948908,0.12916437735584732,1121,0.07869033662018922,0.39347367067491557
