dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3+YOLO,1.0,1852,209.2567947693741,94.19689553086201,12.762429486588779,1.413141865304135,599,1.220942091841667,0.9702919603011804,0.5877056413971038,0.2264210036103662
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3+YOLO,2.0,1808,411.1187020199511,201.01617319478208,17.91772150249745,2.859967516694489,469,1.9693306571834905,2.0105732182338625,0.9884286085777833,0.3602134528410401
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3+YOLO,5.0,1713,1001.5514436732474,428.6562419929964,23.76867644491865,7.419365919773497,272,4.048100678571586,5.120251423921368,1.4241998045056228,0.5489585887236312
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion,0.5,2208,52.753783377982614,25.041692881752038,4.688126063540684,1.0023524341000953,344,2.110422922898847,2.0122914197638915,3.7661051313672296,0.9515902122427552
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion,1.0,2193,101.2729514091921,47.763464147834824,6.201981889929257,1.9137336477919582,269,3.5221751131770462,2.5327554625925326,5.345549389926475,1.7218073028475342
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion,2.0,2163,197.29018499255932,98.83522580123761,8.065614073865849,3.0448563712068477,146,3.742884192676691,0.5967867099588242,4.883641434916811,3.1167636874826665
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion,5.0,2072,482.7342811908871,247.81399027684716,9.934320095476778,5.090096539212288,45,5.253140209243176,4.058256947626791,7.445410936822975,7.476106809205888
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3,0.5,1825,97.62051196907031,37.20103723681485,9.839946475525124,0.5971498758979044,452,1.1446393596167892,1.0091313291555113,0.8213172102911418,0.3138353522838677
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3,1.0,1794,186.48868410741275,60.171710963229756,14.131893442993507,1.185189309532181,307,2.027851934200663,1.9275491636447122,1.4300396843827379,0.41255077856920536
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3,2.0,1750,359.2096275366221,108.69489540720475,19.701894646798102,2.2770213820493526,116,3.690350796048505,3.4088249752858233,2.6045574548229604,1.565283194855758
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3,5.0,1753,917.9293618726545,342.5508058151302,25.172250233218016,5.989661212340871,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion+YOLO,0.5,2208,75.3224063026745,35.733860055521916,5.65076161912191,1.0912276811507855,193,2.1828413505868722,2.0932319498316283,4.017007806030382,0.7169743961316489
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion+YOLO,1.0,2193,144.80978937624695,69.20601070335594,6.983854075701536,1.8117726868434174,148,3.8691165272709114,3.8164660314909478,5.613797310031609,0.6591828007753465
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion+YOLO,2.0,2163,282.9964360608121,136.12758932456788,8.480021410074757,2.591055324473201,60,5.748274666203516,4.613489283907562,1.6213686858066108,0.8111645678077204
