system,dataset,repeat,module,events,median_ms,iqr_ms,p95_ms,max_ms
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,local_mapping_total_ms,188,426.279,101.44300000000004,548.68345,1530.318
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,local_BA_ms,188,341.3575,94.54174999999998,451.87750000000005,560.71
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,place_recognition_ms,235,26.844499,83.4467145,114.81091509999993,250.898904
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,tracking_total_ms,1008,82.7125,21.065749999999994,110.68249999999999,202.413
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,feature_stereo_ms,1008,57.926500000000004,15.831249999999997,79.33104999999999,157.383
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,local_mapping_total_ms,197,411.851,113.92399999999998,520.5844,1533.564
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,local_BA_ms,197,329.971,108.42699999999996,426.3742,595.503
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_02,place_recognition_ms,240,57.4685405,82.6753905,109.3816678,175.468849
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,tracking_total_ms,964,86.30099999999999,19.915000000000006,113.68925,212.105
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,feature_stereo_ms,964,60.962500000000006,15.006,83.8586,184.99
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,local_mapping_total_ms,179,434.423,83.07250000000005,549.5025999999999,1461.176
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,local_BA_ms,179,349.939,77.30150000000003,469.4538,577.107
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_03,place_recognition_ms,223,32.589164,91.2242625,135.81426619999996,186.08946
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,tracking_total_ms,1689,52.519,12.995999999999995,76.42999999999998,142.481
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,feature_stereo_ms,1689,34.857,8.681000000000001,48.978799999999985,102.79
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,local_mapping_total_ms,260,300.04949999999997,93.06699999999998,448.16245,899.759
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,local_BA_ms,260,244.598,78.66500000000002,343.1233,794.363
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,place_recognition_ms,266,49.7034765,61.80586775,83.13359575,3102.548253
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,tracking_total_ms,1518,59.3595,16.667749999999998,89.11195,166.644
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,feature_stereo_ms,1518,39.9555,11.068000000000005,59.60774999999998,121.942
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,local_mapping_total_ms,240,335.154,103.24950000000001,493.39424999999994,864.6
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,local_BA_ms,240,269.319,83.56675000000001,384.14074999999997,447.13
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,place_recognition_ms,247,57.291836,70.5010905,97.95905569999996,4203.147086
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,tracking_total_ms,1455,63.228,17.098499999999994,91.0091,152.171
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,feature_stereo_ms,1455,42.781,11.384,60.242,110.065
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,local_mapping_total_ms,230,347.4785,99.65625000000006,493.4106499999999,1158.119
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,local_BA_ms,230,281.7215,83.63825000000003,386.54709999999994,470.906
ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,place_recognition_ms,236,57.7804575,71.7752305,101.54191625,4024.494614
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,feature_tracking_ms,2186,40.9765,10.475000000000001,55.7095,125.438
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,backend_total_ms,2186,44.83,45.48725,87.53325,136.686
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,solver_ms,2186,39.230000000000004,44.47475000000001,82.138,87.293
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,visual_update_ms,2186,0.357,0.15500000000000003,0.57375,2.252
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,feature_tracking_ms,2244,39.8395,10.098499999999994,52.311299999999996,76.939
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,backend_total_ms,2244,45.2055,44.20025,86.40969999999999,124.905
VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,solver_ms,2244,39.9875,43.19699999999999,81.7461,86.308
